conversation_id,created_at,full_text,Processed_Tweet
1.64804e+18,Mon Apr 17 23:58:17 +0000 2023,@BezusCrypto @Injective_ $inj is next btc ❤️🚀🚀🤑🥷,inj next btc
1.64809e+18,Mon Apr 17 23:58:17 +0000 2023,@MylesGinvest #bitcoin down. Sharp fall,bitcoin sharp fall
1.64811e+18,Mon Apr 17 23:58:17 +0000 2023,"Watch the alts against $btc and $eth . 
Wave incoming.",watch alt btc eth wave incoming
1.64811e+18,Mon Apr 17 23:58:16 +0000 2023,#新しいプロフィール画像 https://t.co/l61QJYxB90,新しいプロフィール画像
1.64778e+18,Mon Apr 17 23:58:15 +0000 2023,@LoboRonin7 BTC is going down? 20?  until the FED gets scared and runs up the printing presses again ?,btc going 20 fed get scared run printing press
1.64811e+18,Mon Apr 17 23:58:15 +0000 2023,"Market Updates (Daily)

04/17/23 23:58

#BTC 29418 -2.93% 🔴
#ETH 2075 -2.07% 🔴
#XRP 0.511 -1.9% 🔴
#DOGE 0.0914 +1.05% 🟢
#BNB 340 -2.24% 🔴
#SHIB 0.000011370 -1.73% 🔴
#CRO 0.0699 -3.79% 🔴
#TRX 0.0657 -1.22% 🔴
#MATIC 1.1515 -2.65% 🔴

(7/13)
511660",market update daily 041723 2358 btc 29418 293 eth 2075 207 xrp 0511 19 doge 00914 105 bnb 340 224 shib 0000011370 173 cro 00699 379 trx 00657 122 matic 11515 265 713 511660
1.64811e+18,Mon Apr 17 23:58:13 +0000 2023,"https://t.co/Tt52u3ruJV

#Bitcoin Update",bitcoin update
1.64811e+18,Mon Apr 17 23:58:12 +0000 2023,"Who needs Shitcoin Magazine when there is @nobsbitcoin, @bitblockboom, @citadeldispatch, @BitBuyBitPod, @rabbitholerecap, and @pod256?

#Bitcoin",need shitcoin magazine bitcoin
1.64808e+18,Mon Apr 17 23:58:10 +0000 2023,"@PixelRainbowNFT @BTC_DeGods Dat gold zipper slider. 

Ayo! https://t.co/xkBmcIhMVX",dat gold zipper slider ayo
1.64811e+18,Mon Apr 17 23:58:03 +0000 2023,"【2023/04/18 08:58:02時点でのレート】
(BTC)  3,960,176円 (1h:99.72%, 24h:97.53%)
(ETH)  279,267円 (1h:99.70%, 24h:98.34%)
(XMR)  21,456円 (1h:99.64%, 24h:97.97%)",20230418 085802時点でのレート btc 3960176円 1h9972 24h9753 eth 279267円 1h9970 24h9834 xmr 21456円 1h9964 24h9797
1.64811e+18,Mon Apr 17 23:58:02 +0000 2023,"@GRDecter how high can Bitcoin go?
AI will answer: https://t.co/UWtrOaHMkO",high bitcoin go ai answer
1.64809e+18,Mon Apr 17 23:57:53 +0000 2023,@TurnBasedCarl @coolcash @SenWarren @EPA @ENERGY Lol. You don’t understand bitcoin. We don’t want to solve the energy usage. It’s not a problem statist war machine supporter.,lol dont understand bitcoin dont want solve energy usage problem statist war machine supporter
